timestamp,youtube-status,youtube-latency
1706527830,200,0.302452
1706530136,200,0.237415
1706532179,200,0.209068
1706533258,200,0.274682
1706535031,200,0.265341
1706536852,200,0.263573
1706538622,200,0.205628
1706540474,200,0.266965
1706542225,200,0.231910
1706544058,200,0.281620
1706546019,200,0.280398
1706547644,200,0.263953
1706549434,200,0.234484
1706551238,200,0.225922
1706553018,200,0.209011
1706554857,200,0.213035
1706556635,200,0.344221
1706558454,200,0.266412
1706560224,200,0.251082
1706562040,200,0.220944
1706563819,200,0.196002
1706565652,200,0.285684
1706567424,200,0.256763
1706569239,200,0.248057
1706571046,200,0.269600
1706574319,200,0.209511
1706578130,200,0.249239
1706580042,200,0.379683
1706581828,200,0.232396
1706583671,200,0.283148
1706585442,200,0.250387
1706587381,200,0.217662
1706589030,200,0.343404
1706590842,200,0.203983
1706592633,200,0.258502
1706594838,200,0.209499
1706596263,200,0.199597
1706598052,200,0.272962
1706599846,200,0.193977
1706602031,200,0.295038
1706603427,200,0.216066
1706605247,200,0.209771
1706607046,200,0.224536
1706608854,200,0.251675
1706610734,200,0.224786
1706612441,200,0.239496
1706614236,200,0.242948
1706616511,200,0.309430
1706618547,200,0.218988
1706619642,200,0.189424
1706621435,200,0.272619
1706623235,200,0.242255
1706625040,200,0.204735
1706626839,200,0.281968
1706628637,200,0.244822
1706630499,200,0.246458
1706632542,200,0.242541
1706634040,200,0.297720
1706635832,200,0.233185
1706637640,200,0.220924
1706639430,200,0.318133
1706641253,200,0.328463
1706643048,200,0.306498
1706644851,200,0.245239
1706646652,200,0.239404
1706648443,200,0.238626
1706650243,200,0.245495
1706652051,200,0.228269
1706653826,200,0.223661
1706655634,200,0.256222
1706657442,200,0.233118
1706660740,200,0.166994
1706664582,200,0.281144
1706666499,200,0.248514
1706668259,200,0.304208
1706670045,200,0.216716
1706671833,200,0.215653
1706673735,200,0.301713
1706675436,200,0.257341
1706677240,200,0.206622
1706679042,200,0.197948
1706681245,200,0.259395
1706682633,200,0.190874
1706684444,200,0.230015
1706686226,200,0.288667
1706688409,200,0.276390
1706689841,200,0.240241
1706691635,200,0.270171
1706693430,200,0.299877
1706695233,200,0.233738
1706697067,200,0.236001
1706698844,200,0.247049
1706700650,200,0.205375
1706702934,200,0.201335
1706704981,200,0.223262
1706706052,200,0.226849
1706707823,200,0.206599
1706709657,200,0.222514
1706711425,200,0.196409
1706713235,200,0.330986
1706715032,200,0.207932
1706716888,200,0.245165
1706718620,200,0.221640
1706720442,200,0.321279
1706722233,200,0.192345
1706724060,200,0.238129
1706725839,200,0.272905
1706727628,200,0.177826
1706729434,200,0.263103
1706731262,200,0.262245
1706733033,200,0.199536
1706734851,200,0.219399
1706736644,200,0.247245
1706738442,200,0.275328
1706740228,200,0.215327
1706742051,200,0.287953
1706743850,200,0.321262
1706747208,200,0.283902
1706751241,200,0.257676
1706753796,200,0.281821
1706754899,200,0.242717
1706756438,200,0.254279
1706758230,200,0.293926
1706760434,200,0.184476
1706761860,200,0.213176
1706763651,200,0.184771
1706765455,200,0.248036
1706767637,200,0.242754
1706769096,200,0.190541
1706770838,200,0.201518
1706772634,200,0.230715
1706774828,200,0.226985
1706776260,200,0.233378
1706778040,200,0.207535
1706779832,200,0.253262
1706781647,200,0.233795
1706783518,200,0.197416
1706785252,200,0.257208
1706787043,200,0.243552
1706789339,200,0.205851
1706791401,200,0.246986
1706792519,200,0.247309
